region,regionCode,year,ccnl
新疆维吾尔自治区,650000,2011,746817.9583
澳门特别行政区,820000,2011,3361.901067
香港特别行政区,810000,2011,60102.37114
安徽省,340000,2012,699864.8738
福建省,350000,2012,637829.0699
甘肃省,620000,2012,383289.6502
广东省,440000,2012,1518483.738
贵州省,520000,2012,232640.8101
海南省,460000,2012,199156.4542
河北省,130000,2012,1408358.674
河南省,410000,2012,1199258.088
黑龙江省,230000,2012,1149010.896
湖北省,420000,2012,470088.1943
湖南省,430000,2012,370893.5298
吉林省,220000,2012,512931.0943
江苏省,320000,2012,1710488.826
江西省,360000,2012,325774.2712
辽宁省,210000,2012,1000800.388
青海省,630000,2012,104736.5041
山东省,370000,2012,1860175.249
山西省,140000,2012,882212.5454
陕西省,610000,2012,734744.1507
四川省,510000,2012,555858.3381
台湾省,710000,2012,667479.8411
云南省,530000,2012,558021.9882
浙江省,330000,2012,1106713.796
北京市,110000,2012,366715.1669
上海市,310000,2012,285327.4371
天津市,120000,2012,319543.928
重庆市,500000,2012,223722.9766
广西壮族自治区,450000,2012,464849.6113
内蒙古自治区,150000,2012,995962.5817
宁夏回族自治区,640000,2012,194729.1281
西藏自治区,540000,2012,36693.86073
新疆维吾尔自治区,650000,2012,797891.0084
澳门特别行政区,820000,2012,3227.233456
香港特别行政区,810000,2012,54138.2016
安徽省,340000,2013,888521.9861
福建省,350000,2013,740503.2628
甘肃省,620000,2013,446509.4268
广东省,440000,2013,1831103.426
贵州省,520000,2013,295924.3621
海南省,460000,2013,207777.9117
河北省,130000,2013,1598184.795
河南省,410000,2013,1371110.958
黑龙江省,230000,2013,1347616.954
湖北省,420000,2013,658298.2561
湖南省,430000,2013,511556.8311
吉林省,220000,2013,617205.0915
江苏省,320000,2013,2122216.089
江西省,360000,2013,415681.0182
辽宁省,210000,2013,1068755.027
青海省,630000,2013,119896.637
山东省,370000,2013,2229624.013
山西省,140000,2013,957091.1359
陕西省,610000,2013,831085.8305
四川省,510000,2013,697022.0259
台湾省,710000,2013,654552.9652
云南省,530000,2013,615521.3175
浙江省,330000,2013,1245629.209
北京市,110000,2013,418771.8021
上海市,310000,2013,357544.7619
天津市,120000,2013,392150.1647
重庆市,500000,2013,265055.8341
广西壮族自治区,450000,2013,521315.7807
内蒙古自治区,150000,2013,975297.5932
宁夏回族自治区,640000,2013,211728.8141
西藏自治区,540000,2013,41397.11296
新疆维吾尔自治区,650000,2013,870845.9663
澳门特别行政区,820000,2013,3530.131264
香港特别行政区,810000,2013,60241.31245
