city,cityCode,year,hdmsp,province,provinceCode
平凉市,620800,1993,9233.85098,甘肃省,620000
庆阳市,621000,1993,10863.53725,甘肃省,620000
天水市,620500,1993,10512.05882,甘肃省,620000
武威市,620600,1993,8530.890196,甘肃省,620000
张掖市,620700,1993,6420.615686,甘肃省,620000
潮州市,445100,1993,13586.1098,广东省,440000
东莞市,441900,1993,89651.17647,广东省,440000
佛山市,440600,1993,88310.95686,广东省,440000
广州市,440100,1993,127744.9451,广东省,440000
河源市,441600,1993,11101.75294,广东省,440000
惠州市,441300,1993,60926.11765,广东省,440000
江门市,440700,1993,57348.7451,广东省,440000
揭阳市,445200,1993,21413.89804,广东省,440000
茂名市,440900,1993,23567.76863,广东省,440000
梅州市,441400,1993,20472.32941,广东省,440000
清远市,441800,1993,24746.6,广东省,440000
汕头市,440500,1993,31296.3098,广东省,440000
汕尾市,441500,1993,18412.70196,广东省,440000
韶关市,440200,1993,26720.9451,广东省,440000
深圳市,440300,1993,83611.08235,广东省,440000
阳江市,441700,1993,14287.95294,广东省,440000
云浮市,445300,1993,13452.04314,广东省,440000
湛江市,440800,1993,38375.86275,广东省,440000
肇庆市,441200,1993,31265.1098,广东省,440000
中山市,442000,1993,46151.22745,广东省,440000
珠海市,440400,1993,35021.52941,广东省,440000
安顺市,520400,1993,5895.137255,贵州省,520000
毕节市,520500,1993,3607.176471,贵州省,520000
贵阳市,520100,1993,23215.68627,贵州省,520000
六盘水市,520200,1993,18383.47059,贵州省,520000
铜仁市,520600,1993,1421.760784,贵州省,520000
遵义市,520300,1993,9097.435294,贵州省,520000
儋州市,460400,1993,9450.031373,海南省,460000
海口市,460100,1993,19262.99216,海南省,460000
三沙市,460300,1993,43.10980392,海南省,460000
三亚市,460200,1993,11004.55686,海南省,460000
保定市,130600,1993,109808.2,河北省,130000
沧州市,130900,1993,114767.1137,河北省,130000
承德市,130800,1993,27476.83137,河北省,130000
邯郸市,130400,1993,116728.9529,河北省,130000
衡水市,131100,1993,52900.0902,河北省,130000
廊坊市,131000,1993,72479.86667,河北省,130000
秦皇岛市,130300,1993,40779.08235,河北省,130000
石家庄市,130100,1993,106489.8392,河北省,130000
唐山市,130200,1993,131081.9647,河北省,130000
邢台市,130500,1993,79404.13725,河北省,130000
张家口市,130700,1993,55453.1451,河北省,130000
安阳市,410500,1993,53621.41176,河南省,410000
鹤壁市,410600,1993,16819.36471,河南省,410000
焦作市,410800,1993,42659.92157,河南省,410000
开封市,410200,1993,27848.91765,河南省,410000
洛阳市,410300,1993,47396.73725,河南省,410000
漯河市,411100,1993,13125.74118,河南省,410000
南阳市,411300,1993,43005.70588,河南省,410000
