city,cityCode,year,viirsl,province,provinceCode
包头市,150200,2000,21694.93009,内蒙古自治区,150000
赤峰市,150400,2000,5750.062655,内蒙古自治区,150000
鄂尔多斯市,150600,2000,4982.735851,内蒙古自治区,150000
呼和浩特市,150100,2000,21492.54062,内蒙古自治区,150000
呼伦贝尔市,150700,2000,10408.8879,内蒙古自治区,150000
通辽市,150500,2000,3511.214013,内蒙古自治区,150000
乌海市,150300,2000,4400.889643,内蒙古自治区,150000
乌兰察布市,150900,2000,2594.252144,内蒙古自治区,150000
固原市,640400,2000,460.5691086,宁夏回族自治区,640000
石嘴山市,640200,2000,2364.178628,宁夏回族自治区,640000
吴忠市,640300,2000,1760.711001,宁夏回族自治区,640000
银川市,640100,2000,5317.984929,宁夏回族自治区,640000
中卫市,640500,2000,493.6203473,宁夏回族自治区,640000
昌都市,540300,2000,110.2438555,西藏自治区,540000
拉萨市,540100,2000,1687.375865,西藏自治区,540000
林芝市,540400,2000,99.35334372,西藏自治区,540000
那曲市,540600,2000,120.3735516,西藏自治区,540000
日喀则市,540200,2000,246.0262014,西藏自治区,540000
山南市,540500,2000,255.1905516,西藏自治区,540000
哈密市,650500,2000,2307.98476,新疆维吾尔自治区,650000
克拉玛依市,650200,2000,10518.19358,新疆维吾尔自治区,650000
吐鲁番市,650400,2000,14644.08963,新疆维吾尔自治区,650000
乌鲁木齐市,650100,2000,33058.08262,新疆维吾尔自治区,650000
巴音郭楞蒙古自治州,652800,2000,15214.56852,新疆维吾尔自治区,650000
博尔塔拉蒙古自治州,652700,2000,919.0233351,新疆维吾尔自治区,650000
昌吉回族自治州,652300,2000,7745.317226,新疆维吾尔自治区,650000
克孜勒苏柯尔克孜自治州,653000,2000,592.026443,新疆维吾尔自治区,650000
伊犁哈萨克自治州,654000,2000,4148.980778,新疆维吾尔自治区,650000
阿拉尔市,659002,2000,118.348765,新疆维吾尔自治区,650000
北屯市,659005,2000,351.7727594,新疆维吾尔自治区,650000
胡杨河市,659010,2000,33.17042661,新疆维吾尔自治区,650000
可克达拉市,659008,2000,30.67074138,新疆维吾尔自治区,650000
昆玉市,659009,2000,1.277950474,新疆维吾尔自治区,650000
石河子市,659001,2000,2040.07742,新疆维吾尔自治区,650000
双河市,659007,2000,35.26997146,新疆维吾尔自治区,650000
铁门关市,659006,2000,13.18140882,新疆维吾尔自治区,650000
图木舒克市,659003,2000,0,新疆维吾尔自治区,650000
五家渠市,659004,2000,281.2884965,新疆维吾尔自治区,650000
新星市,659011,2000,11.96648102,新疆维吾尔自治区,650000
澳门特别行政区,820000,2000,1695.907368,澳门特别行政区,820000
香港特别行政区,810000,2000,38194.10346,香港特别行政区,810000
大兴安岭地区,232700,2001,2568.673074,黑龙江省,230000
台湾省,710000,2001,360433.6874,台湾省,710000
安庆市,340800,2001,1605.739314,安徽省,340000
蚌埠市,340300,2001,1025.059697,安徽省,340000
亳州市,341600,2001,1274.135149,安徽省,340000
池州市,341700,2001,387.4295746,安徽省,340000
滁州市,341100,2001,979.13877,安徽省,340000
阜阳市,341200,2001,1665.039166,安徽省,340000
合肥市,340100,2001,8221.416706,安徽省,340000
淮北市,340600,2001,1724.155346,安徽省,340000
淮南市,340400,2001,1296.205756,安徽省,340000
黄山市,341000,2001,746.3404442,安徽省,340000
六安市,341500,2001,635.2435146,安徽省,340000
马鞍山市,340500,2001,3041.72809,安徽省,340000
宿州市,341300,2001,1088.184977,安徽省,340000
铜陵市,340700,2001,834.1620266,安徽省,340000
芜湖市,340200,2001,3579.964562,安徽省,340000
宣城市,341800,2001,492.9364444,安徽省,340000
福州市,350100,2001,11983.32259,福建省,350000
龙岩市,350800,2001,3680.989654,福建省,350000
南平市,350700,2001,1808.468974,福建省,350000
宁德市,350900,2001,1715.185564,福建省,350000
莆田市,350300,2001,3565.739193,福建省,350000
泉州市,350500,2001,26416.20366,福建省,350000
三明市,350400,2001,2743.23522,福建省,350000
厦门市,350200,2001,20543.65448,福建省,350000
漳州市,350600,2001,6210.865765,福建省,350000
白银市,620400,2001,2930.365279,甘肃省,620000
定西市,621100,2001,694.2414724,甘肃省,620000
嘉峪关市,620200,2001,5986.137443,甘肃省,620000
金昌市,620300,2001,1772.694563,甘肃省,620000
酒泉市,620900,2001,5097.269836,甘肃省,620000
兰州市,620100,2001,19799.31208,甘肃省,620000
陇南市,621200,2001,334.2578509,甘肃省,620000
平凉市,620800,2001,944.568565,甘肃省,620000
庆阳市,621000,2001,1817.536687,甘肃省,620000
天水市,620500,2001,1658.89314,甘肃省,620000
武威市,620600,2001,1093.789688,甘肃省,620000
张掖市,620700,2001,855.092663,甘肃省,620000
潮州市,445100,2001,7442.480778,广东省,440000
东莞市,441900,2001,117661.675,广东省,440000
佛山市,440600,2001,89758.85827,广东省,440000
广州市,440100,2001,101742.8705,广东省,440000
河源市,441600,2001,1424.724674,广东省,440000
惠州市,441300,2001,12662.3698,广东省,440000
江门市,440700,2001,17435.64891,广东省,440000
揭阳市,445200,2001,7184.25257,广东省,440000
茂名市,440900,2001,5940.024737,广东省,440000
梅州市,441400,2001,4022.825745,广东省,440000
清远市,441800,2001,3877.040523,广东省,440000
汕头市,440500,2001,20052.0027,广东省,440000
汕尾市,441500,2001,2569.332642,广东省,440000
韶关市,440200,2001,3682.062505,广东省,440000
深圳市,440300,2001,115985.2274,广东省,440000
阳江市,441700,2001,3569.961291,广东省,440000
云浮市,445300,2001,1876.001259,广东省,440000
湛江市,440800,2001,4900.759792,广东省,440000
肇庆市,441200,2001,3754.426566,广东省,440000
中山市,442000,2001,31112.07983,广东省,440000
珠海市,440400,2001,10658.57545,广东省,440000
安顺市,520400,2001,602.5061365,贵州省,520000
毕节市,520500,2001,714.2539054,贵州省,520000
贵阳市,520100,2001,3108.514634,贵州省,520000
六盘水市,520200,2001,697.7062883,贵州省,520000
铜仁市,520600,2001,324.1319458,贵州省,520000
遵义市,520300,2001,1510.891803,贵州省,520000
儋州市,460400,2001,659.0722423,海南省,460000
海口市,460100,2001,6289.827401,海南省,460000
三沙市,460300,2001,0,海南省,460000
三亚市,460200,2001,2346.671434,海南省,460000
保定市,130600,2001,19491.82923,河北省,130000
沧州市,130900,2001,14762.33717,河北省,130000
承德市,130800,2001,3329.213424,河北省,130000
邯郸市,130400,2001,15031.73417,河北省,130000
衡水市,131100,2001,3788.26279,河北省,130000
廊坊市,131000,2001,18660.70706,河北省,130000
秦皇岛市,130300,2001,11987.22533,河北省,130000
石家庄市,130100,2001,25284.74255,河北省,130000
唐山市,130200,2001,25321.17235,河北省,130000
邢台市,130500,2001,7986.048122,河北省,130000
张家口市,130700,2001,11348.99379,河北省,130000
安阳市,410500,2001,9179.409626,河南省,410000
鹤壁市,410600,2001,1722.364676,河南省,410000
焦作市,410800,2001,4464.179956,河南省,410000
开封市,410200,2001,5048.873973,河南省,410000
洛阳市,410300,2001,6340.052259,河南省,410000
漯河市,411100,2001,2168.989432,河南省,410000
南阳市,411300,2001,3077.071722,河南省,410000
平顶山市,410400,2001,2608.918733,河南省,410000
濮阳市,410900,2001,4143.123422,河南省,410000
三门峡市,411200,2001,2496.41042,河南省,410000
商丘市,411400,2001,2660.766836,河南省,410000
新乡市,410700,2001,5339.5733,河南省,410000
信阳市,411500,2001,1212.555255,河南省,410000
许昌市,411000,2001,2261.31689,河南省,410000
郑州市,410100,2001,28775.38442,河南省,410000
周口市,411600,2001,1536.667443,河南省,410000
驻马店市,411700,2001,1849.058757,河南省,410000
大庆市,230600,2001,48529.48659,黑龙江省,230000
哈尔滨市,230100,2001,58288.95949,黑龙江省,230000
鹤岗市,230400,2001,4598.205933,黑龙江省,230000
黑河市,231100,2001,3300.470521,黑龙江省,230000
鸡西市,230300,2001,5073.009804,黑龙江省,230000
佳木斯市,230800,2001,6029.548467,黑龙江省,230000
牡丹江市,231000,2001,8855.525675,黑龙江省,230000
七台河市,230900,2001,2892.177336,黑龙江省,230000
齐齐哈尔市,230200,2001,13680.95336,黑龙江省,230000
双鸭山市,230500,2001,4159.475794,黑龙江省,230000
绥化市,231200,2001,7796.046192,黑龙江省,230000
