city,cityCode,year,hviirs,province,provinceCode
咸宁市,421200,2014,73328.03137,湖北省,420000
襄阳市,420600,2014,139541.3922,湖北省,420000
孝感市,420900,2014,92740.16078,湖北省,420000
宜昌市,420500,2014,139490.3333,湖北省,420000
常德市,430700,2014,103965.0235,湖南省,430000
郴州市,431000,2014,145507.5451,湖南省,430000
衡阳市,430400,2014,117672.4235,湖南省,430000
怀化市,431200,2014,110258.1804,湖南省,430000
娄底市,431300,2014,68669.92941,湖南省,430000
邵阳市,430500,2014,106792.9843,湖南省,430000
湘潭市,430300,2014,59979.09412,湖南省,430000
益阳市,430900,2014,59791.73725,湖南省,430000
永州市,431100,2014,113923.7608,湖南省,430000
岳阳市,430600,2014,121767.498,湖南省,430000
张家界市,430800,2014,28988.96078,湖南省,430000
长沙市,430100,2014,178063.0314,湖南省,430000
株洲市,430200,2014,87967.98431,湖南省,430000
白城市,220800,2014,69644.43137,吉林省,220000
白山市,220600,2014,76766.93725,吉林省,220000
吉林市,220200,2014,233461.6941,吉林省,220000
辽源市,220400,2014,58787.63922,吉林省,220000
四平市,220300,2014,117264.4745,吉林省,220000
松原市,220700,2014,190280.4706,吉林省,220000
通化市,220500,2014,124556.3765,吉林省,220000
长春市,220100,2014,382874.0353,吉林省,220000
常州市,320400,2014,154925.2667,江苏省,320000
淮安市,320800,2014,144982.349,江苏省,320000
连云港市,320700,2014,143869.3725,江苏省,320000
南京市,320100,2014,234324.4392,江苏省,320000
南通市,320600,2014,246897.1922,江苏省,320000
苏州市,320500,2014,469451.0275,江苏省,320000
宿迁市,321300,2014,130718.9059,江苏省,320000
泰州市,321200,2014,145685.8392,江苏省,320000
无锡市,320200,2014,227980.4235,江苏省,320000
徐州市,320300,2014,217558.6431,江苏省,320000
盐城市,320900,2014,228876.4471,江苏省,320000
扬州市,321000,2014,145352.4784,江苏省,320000
镇江市,321100,2014,127435.9922,江苏省,320000
抚州市,361000,2014,84245.53725,江西省,360000
赣州市,360700,2014,191602.3255,江西省,360000
吉安市,360800,2014,114352.902,江西省,360000
景德镇市,360200,2014,33403.76471,江西省,360000
九江市,360400,2014,124693.8667,江西省,360000
南昌市,360100,2014,99324.72941,江西省,360000
