region,regionCode,year,viirsl
上海市,310000,2022,518787.2116
天津市,120000,2022,383457.5648
重庆市,500000,2022,313228.577
广西壮族自治区,450000,2022,401245.598
内蒙古自治区,150000,2022,444678.46
宁夏回族自治区,640000,2022,190340.4804
西藏自治区,540000,2022,66922.58812
新疆维吾尔自治区,650000,2022,713653.6849
澳门特别行政区,820000,2022,4875.580696
香港特别行政区,810000,2022,74024.68364
