Sgnyea,Ctnm,Ctnm_id,Cttyp,Prvcnm_id,Prvcnm,Eect01,Eect02,Eect04
1993,赤峰市,150400,地级市,150000,内蒙古自治区,420.016,68.77,47
1993,通辽市,150500,地级市,150000,内蒙古自治区,,,203
1993,鄂尔多斯市,150600,地级市,150000,内蒙古自治区,122.8133,,150
1993,沈阳市,210100,副省级市,210000,辽宁省,657.7,405.1,506
1993,大连市,210200,副省级市,210000,辽宁省,527.1,240.3,419
1993,鞍山市,210300,地级市,210000,辽宁省,331.5,161,358
1993,抚顺市,210400,地级市,210000,辽宁省,224.2,144.2,207
1993,本溪市,210500,地级市,210000,辽宁省,154.8,97.2,184
1993,丹东市,210600,地级市,210000,辽宁省,235.4,90.7,158
1993,锦州市,210700,地级市,210000,辽宁省,296.8,97.8,288
1993,营口市,210800,地级市,210000,辽宁省,217.5,76.9,403
1993,阜新市,210900,地级市,210000,辽宁省,186.5,81.4,180
1993,辽阳市,211000,地级市,210000,辽宁省,174.7,69.6,369
1993,盘锦市,211100,地级市,210000,辽宁省,109.5,52.1,277
1993,铁岭市,211200,地级市,210000,辽宁省,287.2,80.1,221
1993,朝阳市,211300,地级市,210000,辽宁省,323,74.6,164
1993,长春市,220100,副省级市,220000,吉林省,651.04,246.81,345
1993,吉林市,220200,地级市,220000,吉林省,419.28,194.15,155
1993,四平市,220300,地级市,220000,吉林省,304.45,100.19,216
1993,辽源市,220400,地级市,220000,吉林省,120.81,54.03,236
1993,通化市,220500,地级市,220000,吉林省,219.6,93.69,145
1993,白山市,220600,地级市,220000,吉林省,126.31,78.02,71
1993,松原市,220700,地级市,220000,吉林省,248.97,57.59,113
1993,白城市,220800,地级市,220000,吉林省,191.78,72.28,74
1993,哈尔滨市,230100,副省级市,230000,黑龙江省,529.985,,287
1993,齐齐哈尔市,230200,地级市,230000,黑龙江省,543.3828,,132
1993,鸡西市,230300,地级市,230000,黑龙江省,188.2029,,99
1993,鹤岗市,230400,地级市,230000,黑龙江省,108.2496,,74
1993,双鸭山市,230500,地级市,230000,黑龙江省,145.8816,,65
1993,大庆市,230600,地级市,230000,黑龙江省,233.669,,110
1993,伊春市,230700,地级市,230000,黑龙江省,132.0058,,35
1993,佳木斯市,230800,地级市,230000,黑龙江省,224.4523,,75
1993,七台河市,230900,地级市,230000,黑龙江省,80.7054,,130
1993,牡丹江市,231000,地级市,230000,黑龙江省,257.2117,,54
1993,黑河市,231100,地级市,230000,黑龙江省,160.2813,,23
1993,绥化市,231200,地级市,230000,黑龙江省,517.8985,,287
1993,上海市,310000,直辖市,310000,上海市,1294.74,893.46,2042
1993,南京市,320100,副省级市,320000,江苏省,514.74,248.9,790
1993,无锡市,320200,地级市,320000,江苏省,426.53,167.18,917
1993,徐州市,320300,地级市,320000,江苏省,833.94,155.61,741
1993,常州市,320400,地级市,320000,江苏省,329.33,115.1,753
1993,苏州市,320500,地级市,320000,江苏省,569.28,155.33,671
1993,南通市,320600,地级市,320000,江苏省,781.2,191.13,976
1993,连云港市,320700,地级市,320000,江苏省,353.22,64.56,550
1993,盐城市,320900,地级市,320000,江苏省,779.89,129.18,521
1993,扬州市,321000,地级市,320000,江苏省,933.89,161.74,751
1993,镇江市,321100,地级市,320000,江苏省,261.54,85.37,681
1993,杭州市,330100,副省级市,330000,浙江省,587.1,179.11,354
1993,宁波市,330200,副省级市,330000,浙江省,519.98,109.81,555
1993,温州市,330300,地级市,330000,浙江省,685.57,104.53,582
1993,嘉兴市,330400,地级市,330000,浙江省,322.57,62.49,824
1993,湖州市,330500,地级市,330000,浙江省,249.37,46.65,435
1993,绍兴市,330600,地级市,330000,浙江省,419.62,59.91,531
1993,金华市,330700,地级市,330000,浙江省,431.58,54.07,395
