county,countyCode,year,hviirs,city,cityCode,province,provinceCode
南溪区,511503,2013,8452.082353,宜宾市,511500,四川省,510000
叙州区,511504,2013,19260.67451,宜宾市,511500,四川省,510000
雁江区,512002,2013,16689.84314,资阳市,512000,四川省,510000
大安区,510304,2013,6032.929412,自贡市,510300,四川省,510000
贡井区,510303,2013,4128,自贡市,510300,四川省,510000
沿滩区,510311,2013,8015.545098,自贡市,510300,四川省,510000
自流井区,510302,2013,3722.964706,自贡市,510300,四川省,510000
峨边彝族自治县,511132,2013,7413.231373,乐山市,511100,四川省,510000
马边彝族自治县,511133,2013,7330.572549,乐山市,511100,四川省,510000
北川羌族自治县,510726,2013,10007.61176,绵阳市,510700,四川省,510000
怀宁县,340822,2013,13860.20784,安庆市,340800,安徽省,340000
宿松县,340826,2013,12073.82745,安庆市,340800,安徽省,340000
太湖县,340825,2013,10612.38039,安庆市,340800,安徽省,340000
望江县,340827,2013,10093.41961,安庆市,340800,安徽省,340000
岳西县,340828,2013,10782.70588,安庆市,340800,安徽省,340000
固镇县,340323,2013,14264.09804,蚌埠市,340300,安徽省,340000
怀远县,340321,2013,22227.64706,蚌埠市,340300,安徽省,340000
五河县,340322,2013,14489.58824,蚌埠市,340300,安徽省,340000
利辛县,341623,2013,20639.47843,亳州市,341600,安徽省,340000
蒙城县,341622,2013,25934.76078,亳州市,341600,安徽省,340000
涡阳县,341621,2013,25585.73333,亳州市,341600,安徽省,340000
东至县,341721,2013,16561.48235,池州市,341700,安徽省,340000
青阳县,341723,2013,10978.38824,池州市,341700,安徽省,340000
石台县,341722,2013,1905.572549,池州市,341700,安徽省,340000
定远县,341125,2013,27651.32941,滁州市,341100,安徽省,340000
凤阳县,341126,2013,22488.76863,滁州市,341100,安徽省,340000
来安县,341122,2013,20486.23137,滁州市,341100,安徽省,340000
全椒县,341124,2013,19421.36078,滁州市,341100,安徽省,340000
阜南县,341225,2013,19206.44314,阜阳市,341200,安徽省,340000
临泉县,341221,2013,20099.67059,阜阳市,341200,安徽省,340000
太和县,341222,2013,22113.43529,阜阳市,341200,安徽省,340000
颍上县,341226,2013,24821.32549,阜阳市,341200,安徽省,340000
肥东县,340122,2013,32015.09412,合肥市,340100,安徽省,340000
肥西县,340123,2013,25540.82353,合肥市,340100,安徽省,340000
庐江县,340124,2013,24406.4902,合肥市,340100,安徽省,340000
长丰县,340121,2013,27768.19216,合肥市,340100,安徽省,340000
濉溪县,340621,2013,34574.70196,淮北市,340600,安徽省,340000
凤台县,340421,2013,19414.43529,淮南市,340400,安徽省,340000
寿县,340422,2013,26452.56863,淮南市,340400,安徽省,340000
祁门县,341024,2013,3532.705882,黄山市,341000,安徽省,340000
歙县,341021,2013,10211.12941,黄山市,341000,安徽省,340000
休宁县,341022,2013,10072.74118,黄山市,341000,安徽省,340000
黟县,341023,2013,2603.172549,黄山市,341000,安徽省,340000
霍邱县,341522,2013,28327.92157,六安市,341500,安徽省,340000
霍山县,341525,2013,10872.26667,六安市,341500,安徽省,340000
金寨县,341524,2013,19337.17647,六安市,341500,安徽省,340000
舒城县,341523,2013,16616.00784,六安市,341500,安徽省,340000
当涂县,340521,2013,22800.93333,马鞍山市,340500,安徽省,340000
含山县,340522,2013,12878.40784,马鞍山市,340500,安徽省,340000
和县,340523,2013,19058.75294,马鞍山市,340500,安徽省,340000
砀山县,341321,2013,14549.61176,宿州市,341300,安徽省,340000
灵璧县,341323,2013,22649.78824,宿州市,341300,安徽省,340000
泗县,341324,2013,18506.78431,宿州市,341300,安徽省,340000
萧县,341322,2013,23600.09412,宿州市,341300,安徽省,340000
枞阳县,340722,2013,11077.8549,铜陵市,340700,安徽省,340000
南陵县,340223,2013,14204.83529,芜湖市,340200,安徽省,340000
绩溪县,341824,2013,7225.066667,宣城市,341800,安徽省,340000
泾县,341823,2013,13791.10588,宣城市,341800,安徽省,340000
旌德县,341825,2013,4417.619608,宣城市,341800,安徽省,340000
郎溪县,341821,2013,13330.24314,宣城市,341800,安徽省,340000
潜山市,340882,2013,10451.04706,安庆市,340800,安徽省,340000
桐城市,340881,2013,15161.86667,安庆市,340800,安徽省,340000
明光市,341182,2013,20802.73725,滁州市,341100,安徽省,340000
天长市,341181,2013,22563.04706,滁州市,341100,安徽省,340000
界首市,341282,2013,10548.52549,阜阳市,341200,安徽省,340000
巢湖市,340181,2013,24177.69804,合肥市,340100,安徽省,340000
无为市,340281,2013,20972.13725,芜湖市,340200,安徽省,340000
广德市,341882,2013,20787.42353,宣城市,341800,安徽省,340000
宁国市,341881,2013,18062.51765,宣城市,341800,安徽省,340000
大观区,340803,2013,5438.643137,安庆市,340800,安徽省,340000
宜秀区,340811,2013,7879.654902,安庆市,340800,安徽省,340000
迎江区,340802,2013,6371.937255,安庆市,340800,安徽省,340000
蚌山区,340303,2013,5283.392157,蚌埠市,340300,安徽省,340000
淮上区,340311,2013,8589.839216,蚌埠市,340300,安徽省,340000
龙子湖区,340302,2013,6952.945098,蚌埠市,340300,安徽省,340000
禹会区,340304,2013,11249.2902,蚌埠市,340300,安徽省,340000
