countycode,plngdppc2001,plngdppc2002,plngdppc2003,plngdppc2004,plngdppc2005,plngdppc2006,plngdppc2007,plngdppc2008,plngdppc2009,plngdppc2010,plngdppc2011,plngdppc2012,plngdppc2013,plngdppc2014,plngdppc2015,plngdppc2016,plngdppc2017,plngdppc2018,plngdppc2019,plngdppc2020,plngdppc2021,id,county,city,citycode,province,provincecode
130425,8.3365412,8.4208593,8.5082426,8.7289677,8.7932682,9.163826,9.2400732,9.3496981,9.5773773,9.7101917,10.016563,10.105582,10.193866,10.25237,10.285466,10.320951,10.411925,10.476686,10.540102,10.611725,10.721279,84,大名县,邯郸市,130400,河北省,130000
130426,8.4931297,8.5848255,8.6953974,8.9129858,9.0830927,9.2789173,9.440589,9.6731911,9.7718506,9.8939171,10.104169,10.237405,10.306947,10.377191,10.39268,10.418409,10.464345,10.512455,10.567365,10.643003,10.74527,85,涉县,邯郸市,130400,河北省,130000
130427,8.4740915,8.6288881,8.7434902,8.913518,9.1295223,9.3071165,9.4343843,9.6053209,9.7698994,9.8927813,10.121919,10.247108,10.299851,10.374338,10.411966,10.42321,10.497684,10.548498,10.636545,10.714291,10.808401,86,磁县,邯郸市,130400,河北省,130000
130430,8.4794531,8.5747576,8.5874615,8.8145094,8.9416733,9.0626764,9.3082857,9.4828777,9.5832586,9.7142353,9.9387817,10.10339,10.186431,10.25628,10.291198,10.324325,10.41868,10.475108,10.53933,10.612781,10.705815,87,邱县,邯郸市,130400,河北省,130000
130431,8.4282722,8.5544014,8.5988874,8.8111877,8.9337139,9.1196775,9.2738991,9.4280119,9.6063499,9.7962151,9.9906445,10.102814,10.210938,10.290902,10.331495,10.400056,10.461358,10.537602,10.628934,10.715313,10.830862,88,鸡泽县,邯郸市,130400,河北省,130000
130432,8.5135727,8.6049013,8.6449585,8.8900661,9.0277948,9.1612825,9.2832232,9.4809484,9.6371336,9.8291979,10.081401,10.179822,10.220788,10.328229,10.376635,10.414013,10.49334,10.559565,10.640389,10.702746,10.806908,89,广平县,邯郸市,130400,河北省,130000
130433,8.5020962,8.5838041,8.6426134,8.8404837,9.0137978,9.1211634,9.3130245,9.5479078,9.7232122,9.8086042,10.053585,10.121189,10.19314,10.261698,10.324087,10.379239,10.445056,10.505278,10.581173,10.655504,10.776319,90,馆陶县,邯郸市,130400,河北省,130000
130434,8.489006,8.6083651,8.7033968,8.8494854,9.0089741,9.1106453,9.2823467,9.5125017,9.6513624,9.842782,10.052152,10.144901,10.167868,10.253811,10.317098,10.358995,10.479209,10.549835,10.618876,10.700314,10.81498,91,魏县,邯郸市,130400,河北省,130000
130435,8.4122858,8.4850197,8.5907545,8.7843304,8.9516449,9.1047907,9.2750216,9.4485817,9.614336,9.7700891,10.053623,10.095668,10.190797,10.25012,10.293208,10.336821,10.407764,10.467647,10.540323,10.637548,10.760154,92,曲周县,邯郸市,130400,河北省,130000
130481,8.6401443,8.7231312,8.7841768,9.0126629,9.2034168,9.3537779,9.5165148,9.7259007,9.8309584,9.9386616,10.169819,10.321866,10.393352,10.463322,10.488915,10.528551,10.568273,10.610758,10.67465,10.752756,10.859974,93,武安市,邯郸市,130400,河北省,130000
130502,8.6307735,8.6827574,8.7778807,8.9416866,9.1457539,9.3389835,9.4872818,9.6883869,9.8063145,9.9506273,10.171598,10.312209,10.333055,10.40801,10.462461,10.517676,10.569648,10.638032,10.710854,10.778286,10.875552,94,襄都区,邢台市,130500,河北省,130000
